City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,balassagyarmat,48.073,19.2961,36.97,84,100,2.21,HU,1740543722
341,barcelos,41.5388,-8.6151,42.35,93,38,3.69,PT,1740543724
342,luba,3.4568,8.5547,81.3,79,100,7.14,GQ,1740543726
343,chibougamau,49.9168,-74.3659,-7.98,84,20,5.75,CA,1740543728
344,kidal,18.4411,1.4078,62.29,19,0,9.89,ML,1740543730
345,honefoss,60.168,10.2565,32.81,97,99,3.31,NO,1740543732
346,azadshahr,34.7909,48.5707,16.29,62,0,9.22,IR,1740543660
347,padang,-0.9492,100.3543,87.85,61,81,3.76,ID,1740543579
348,ondjiva,-17.0667,15.7333,63.95,92,100,4.76,AO,1740543739
349,amahai,-3.3333,128.9167,83.08,72,100,9.24,ID,1740543741
350,kijang,35.2442,129.2139,49.73,39,78,9.44,KR,1740543743
351,tofol,5.3248,163.0078,80.38,89,100,5.75,FM,1740543745
352,sur,22.5667,59.5289,74.14,78,12,3.33,OM,1740543747
353,shetpe,44.1667,52.1167,22.55,89,100,2.37,KZ,1740543749
354,cabo san lucas,22.8909,-109.9124,68.76,31,24,7.0,MX,1740543751
355,villa de soto,-30.8552,-64.9995,77.36,65,31,12.66,AR,1740543754
356,afua,-0.1567,-50.3867,73.72,95,100,2.8,BR,1740543758
357,hohhot,40.8106,111.6522,39.49,13,0,4.47,CN,1740543760
358,north bend,43.4065,-124.2243,46.31,93,0,0.0,US,1740543762
359,labytnangi,66.6572,66.4183,9.81,92,96,18.63,RU,1740543764
360,praia,14.9215,-23.5087,68.54,68,0,11.5,CV,1740543766
361,san julian,21.0167,-102.1667,61.05,23,0,8.19,MX,1740543768
